run_id,grid_string_id,step,position,anchor,window_size,prefix,predicted,actual,is_correct,confidence,selected_window_size,skipped,skip_reason,all_predictions_json,entry_reason
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,1,8,0,9,bpbpbpbb,p,b,0,50.14164305949008,9,0,,"[{""window_size"": 9, ""prefix"": ""bpbpbpbb"", ""predicted"": ""p"", ""confidence"": 50.14164305949008, ""b_ratio"": 49.858356940509914, ""p_ratio"": 50.14164305949008}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,2,9,0,10,bpbpbpbbb,p,p,1,52.63157894736842,10,0,,"[{""window_size"": 10, ""prefix"": ""bpbpbpbbb"", ""predicted"": ""p"", ""confidence"": 52.63157894736842, ""b_ratio"": 47.368421052631575, ""p_ratio"": 52.63157894736842}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,3,18,10,9,pbppbbpb,b,p,0,50.38560411311054,9,0,,"[{""window_size"": 9, ""prefix"": ""pbppbbpb"", ""predicted"": ""b"", ""confidence"": 50.38560411311054, ""b_ratio"": 50.38560411311054, ""p_ratio"": 49.61439588688946}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,4,19,10,10,pbppbbpbp,p,b,0,51.61290322580645,10,0,,"[{""window_size"": 10, ""prefix"": ""pbppbbpbp"", ""predicted"": ""p"", ""confidence"": 51.61290322580645, ""b_ratio"": 48.38709677419355, ""p_ratio"": 51.61290322580645}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,5,20,10,11,pbppbbpbpb,b,b,1,56.81818181818182,11,0,,"[{""window_size"": 11, ""prefix"": ""pbppbbpbpb"", ""predicted"": ""b"", ""confidence"": 56.81818181818182, ""b_ratio"": 56.81818181818182, ""p_ratio"": 43.18181818181818}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,6,29,21,9,pbpbbbpp,b,p,0,55.08474576271186,9,0,,"[{""window_size"": 9, ""prefix"": ""pbpbbbpp"", ""predicted"": ""b"", ""confidence"": 55.08474576271186, ""b_ratio"": 55.08474576271186, ""p_ratio"": 44.91525423728814}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,7,30,21,10,pbpbbbppp,b,p,0,51.633986928104584,10,0,,"[{""window_size"": 10, ""prefix"": ""pbpbbbppp"", ""predicted"": ""b"", ""confidence"": 51.633986928104584, ""b_ratio"": 51.633986928104584, ""p_ratio"": 48.36601307189542}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,8,31,21,11,pbpbbbpppp,b,b,1,67.12328767123287,11,0,,"[{""window_size"": 11, ""prefix"": ""pbpbbbpppp"", ""predicted"": ""b"", ""confidence"": 67.12328767123287, ""b_ratio"": 67.12328767123287, ""p_ratio"": 32.87671232876712}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,9,40,32,9,pbpbpbpb,b,p,0,52.73775216138329,9,0,,"[{""window_size"": 9, ""prefix"": ""pbpbpbpb"", ""predicted"": ""b"", ""confidence"": 52.73775216138329, ""b_ratio"": 52.73775216138329, ""p_ratio"": 47.262247838616716}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,10,41,32,10,pbpbpbpbp,p,b,0,51.5527950310559,10,0,,"[{""window_size"": 10, ""prefix"": ""pbpbpbpbp"", ""predicted"": ""p"", ""confidence"": 51.5527950310559, ""b_ratio"": 48.4472049689441, ""p_ratio"": 51.5527950310559}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,11,42,32,11,pbpbpbpbpb,b,b,1,51.28205128205128,11,0,,"[{""window_size"": 11, ""prefix"": ""pbpbpbpbpb"", ""predicted"": ""b"", ""confidence"": 51.28205128205128, ""b_ratio"": 51.28205128205128, ""p_ratio"": 48.717948717948715}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2305,12,54,46,9,pbpppbbp,b,b,1,53.6144578313253,9,0,,"[{""window_size"": 9, ""prefix"": ""pbpppbbp"", ""predicted"": ""b"", ""confidence"": 53.6144578313253, ""b_ratio"": 53.6144578313253, ""p_ratio"": 46.3855421686747}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2306,1,8,0,9,pbppppbp,b,b,1,54.22077922077923,9,0,,"[{""window_size"": 9, ""prefix"": ""pbppppbp"", ""predicted"": ""b"", ""confidence"": 54.22077922077923, ""b_ratio"": 54.22077922077923, ""p_ratio"": 45.77922077922078}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2306,2,18,10,9,bppbpppb,p,p,1,50.482315112540185,9,0,,"[{""window_size"": 9, ""prefix"": ""bppbpppb"", ""predicted"": ""p"", ""confidence"": 50.482315112540185, ""b_ratio"": 49.51768488745981, ""p_ratio"": 50.482315112540185}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2306,3,32,24,9,pbpbbppb,b,p,0,52.307692307692314,9,0,,"[{""window_size"": 9, ""prefix"": ""pbpbbppb"", ""predicted"": ""b"", ""confidence"": 52.307692307692314, ""b_ratio"": 52.307692307692314, ""p_ratio"": 47.69230769230769}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2306,4,33,24,10,pbpbbppbp,b,b,1,53.64238410596026,10,0,,"[{""window_size"": 10, ""prefix"": ""pbpbbppbp"", ""predicted"": ""b"", ""confidence"": 53.64238410596026, ""b_ratio"": 53.64238410596026, ""p_ratio"": 46.35761589403973}]",
cd1adaae-7e75-48e7-8d56-3bd826994c24,2306,5,42,34,9,pbbppppb,p,b,0,54.86725663716814,9,0,,"[{""window_size"": 9, ""prefix"": ""pbbppppb"", ""predicted"": ""p"", ""confidence"": 54.86725663716814, ""b_ratio"": 45.13274336283185, ""p_ratio"": 54.86725663716814}]",
